지역,구군,지역코드,주소,중심점X,중심점Y,경도,위도,건축년도,건물연령,연령대,노후등급,노후점수,겹침비율,홍수등급,홍수점수,산사태거리,산사태등급,산사태점수,노후홍수점수,노후홍수등급,노후홍수코드,홍수산사태점수,홍수산사태등급,홍수산사태코드,노후산사태점수,노후산사태등급,노후산사태코드,종합점수,종합등급,위험코드
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중노송동 1 일반 417-15 32128 1 일반건축물,213631.3370681849,358995.5988814427,213631.3370681849,358995.5988814427,1969.0,57.0,50-100년,고령,6,0.0,없음,0,1138.463877336475,안전,0,6,주의,C,0,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 605-10 32138 1 일반건축물,210884.11758829377,357788.4254735837,210884.11758829377,357788.4254735837,1996.0,30.0,30-50년,노후,5,0.0,없음,0,566.4803615307419,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 573-3 32139 1 일반건축물,210993.73053071278,358227.4613278524,210993.73053071278,358227.4613278524,1995.0,31.0,30-50년,노후,5,0.0,없음,0,361.24783736376884,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 고사동 1 일반 271-1 32143 1 일반건축물,212900.53863623945,358272.9495148759,212900.53863623945,358272.9495148759,1980.0,46.0,30-50년,노후,5,0.0,없음,0,621.2889826803627,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서노송동 1 일반 659-1 32146 1 일반건축물,212908.8697653967,358971.86083089194,212908.8697653967,358971.86083089194,1974.0,52.0,50-100년,고령,6,0.0,없음,0,1092.245393673052,안전,0,6,주의,C,0,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 311-7 32150 1 일반건축물,213315.1282005958,356265.37413871783,213315.1282005958,356265.37413871783,1978.0,48.0,30-50년,노후,5,89.09916277952668,매우높음,4,184.39088914585773,주의,2,9,위험,E,6,주의,C,7,경고,D,11,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 112-33 32151 1 일반건축물,211792.40587467316,356371.9491863917,211792.40587467316,356371.9491863917,1988.0,38.0,30-50년,노후,5,0.0,없음,0,390.5124837953327,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서신동 1 일반 22-24 32158 1 일반건축물,211188.79154476392,358961.7201032159,211188.79154476392,358961.7201032159,1986.0,40.0,30-50년,노후,5,0.0,없음,0,237.69728648009425,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 200-15 32160 1 일반건축물,211324.2309216174,356393.4357256328,211324.2309216174,356393.4357256328,1988.0,38.0,30-50년,노후,5,0.0,없음,0,792.0227269466452,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 평화동1가 1 일반 581-4 32163 1 일반건축물,212422.68154820794,355658.95592346654,212422.68154820794,355658.95592346654,1978.0,48.0,30-50년,노후,5,0.0,없음,0,142.12670403551894,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중앙동1가 1 일반 32-1 32166 1 일반건축물,212797.3662437125,357791.451858136,212797.3662437125,357791.451858136,1990.0,36.0,30-50년,노후,5,0.0,없음,0,389.48684188300894,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 남노송동 1 일반 145-1 32169 1 일반건축물,214497.34657690453,358127.0535589318,214497.34657690453,358127.0535589318,1979.0,47.0,30-50년,노후,5,0.0,없음,0,259.42243542145695,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 554-13 32175 1 일반건축물,210963.7230410748,356470.2588359505,210963.7230410748,356470.2588359505,1987.0,39.0,30-50년,노후,5,0.0,없음,0,572.7128425310541,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 경원동1가 1 일반 50 32176 1 일반건축물,213326.84093929827,357961.60185715684,213326.84093929827,357961.60185715684,1980.0,46.0,30-50년,노후,5,0.0,없음,0,777.946013551069,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 969-5 32179 1 일반건축물,213596.03353937314,355985.8070995695,213596.03353937314,355985.8070995695,1989.0,37.0,30-50년,노후,5,0.0,없음,0,60.0,위험,3,5,주의,C,3,관심,B,8,경고,D,8,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 369-119 32181 1 일반건축물,213262.41472513112,356243.3273507315,213262.41472513112,356243.3273507315,1989.0,37.0,30-50년,노후,5,0.0,없음,0,148.66068747318505,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서서학동 1 일반 367-64 32182 1 일반건축물,213173.44793625927,356026.0180946962,213173.44793625927,356026.0180946962,1979.0,47.0,30-50년,노후,5,0.0,없음,0,148.66068747318505,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 서노송동 1 일반 706-16 32185 1 일반건축물,213402.9431635525,358783.0611876787,213402.9431635525,358783.0611876787,1970.0,56.0,50-100년,고령,6,0.0,없음,0,1300.4999038831183,안전,0,6,주의,C,0,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 남노송동 1 일반 521-11 32188 1 일반건축물,213931.3591070209,358074.2062761038,213931.3591070209,358074.2062761038,1989.0,37.0,30-50년,노후,5,0.0,없음,0,514.78150704935,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 다가동4가 1 일반 6-2 32195 1 일반건축물,212520.71757509155,358191.7308756869,212520.71757509155,358191.7308756869,1994.0,32.0,30-50년,노후,5,0.0,없음,0,294.10882339705483,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 657-7 32196 1 일반건축물,210628.26007228816,355296.5879723414,210628.26007228816,355296.5879723414,1993.0,33.0,30-50년,노후,5,0.0,없음,0,829.2767933567176,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 46-20 32200 1 일반건축물,211630.73983057408,356987.0708790686,211630.73983057408,356987.0708790686,1978.0,48.0,30-50년,노후,5,0.0,없음,0,643.2728814430156,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 620-9 32201 1 일반건축물,211049.38967102562,355560.4653281541,211049.38967102562,355560.4653281541,1994.0,32.0,30-50년,노후,5,0.0,없음,0,766.9419795525605,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 581-2 32202 1 일반건축물,210682.8782815853,355930.7361184018,210682.8782815853,355930.7361184018,1990.0,36.0,30-50년,노후,5,0.0,없음,0,863.7129152675674,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
